,Team,Season Year,Player 01,Player 02,Player 03,Player 04,Player 05,Player 06,Player 07,Player 08,Player 09,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15
5774,MIL,2022,Giannis Antetokounmpo,Jrue Holiday,Brook Lopez,Wesley Matthews,Grayson Allen,Pat Connaughton,Bobby Portis,George Hill,Jordan Nwora,Luca Vildoza,Thanasis Antetokounmpo,Jevon Carter,Rayjon Tucker,,
5775,BOS,2022,Al Horford,Grant Williams,Marcus Smart,Jaylen Brown,Jayson Tatum,Derrick White,Payton Pritchard,Daniel Theis,Malik Fitts,Aaron Nesmith,Luke Kornet,Nik Stauskas,,,
5776,DAL,2022,Reggie Bullock,Luka Dončić,Jalen Brunson,Dorian Finney-Smith,Dwight Powell,Spencer Dinwiddie,Maxi Kleber,Dāvis Bertāns,Frank Ntilikina,Marquese Chriss,Trey Burke,Josh Green,Sterling Brown,Boban Marjanović,
5777,PHO,2022,Devin Booker,Mikal Bridges,Chris Paul,Jae Crowder,Deandre Ayton,Cameron Johnson,JaVale McGee,Landry Shamet,Cameron Payne,Bismack Biyombo,Aaron Holiday,Elfrid Payton,Ish Wainright,Torrey Craig,
5778,BOS,2022,Jayson Tatum,Jaylen Brown,Grant Williams,Derrick White,Robert Williams,Payton Pritchard,Daniel Theis,Aaron Nesmith,,,,,,,
5779,MIA,2022,Jimmy Butler,Bam Adebayo,Gabe Vincent,P.J. Tucker,Max Strus,Tyler Herro,Victor Oladipo,Caleb Martin,Dewayne Dedmon,,,,,,
5780,DAL,2022,Reggie Bullock,Luka Dončić,Dorian Finney-Smith,Jalen Brunson,Dwight Powell,Spencer Dinwiddie,Maxi Kleber,Dāvis Bertāns,Frank Ntilikina,Josh Green,Trey Burke,Sterling Brown,Marquese Chriss,,
5781,GSW,2022,Andrew Wiggins,Klay Thompson,Stephen Curry,Draymond Green,Kevon Looney,Jordan Poole,Otto Porter Jr.,Damion Lee,Moses Moody,Jonathan Kuminga,Nemanja Bjelica,Juan Toscano-Anderson,,,
5782,BOS,2022,Marcus Smart,Jaylen Brown,Al Horford,Jayson Tatum,Robert Williams,Grant Williams,Payton Pritchard,Aaron Nesmith,Daniel Theis,Luke Kornet,Juwan Morgan,Nik Stauskas,,,
5783,MIA,2022,Jimmy Butler,Bam Adebayo,Max Strus,Gabe Vincent,P.J. Tucker,Victor Oladipo,Tyler Herro,Caleb Martin,Duncan Robinson,Dewayne Dedmon,Omer Yurtseven,Haywood Highsmith,,,
5784,DAL,2022,Reggie Bullock,Dorian Finney-Smith,Luka Dončić,Jalen Brunson,Dwight Powell,Maxi Kleber,Spencer Dinwiddie,Dāvis Bertāns,Josh Green,Frank Ntilikina,,,,,
5785,GSW,2022,Andrew Wiggins,Klay Thompson,Stephen Curry,Kevon Looney,Draymond Green,Jordan Poole,Otto Porter Jr.,Moses Moody,Damion Lee,,,,,,
5786,MIA,2022,Bam Adebayo,P.J. Tucker,Max Strus,Kyle Lowry,Jimmy Butler,Victor Oladipo,Tyler Herro,Gabe Vincent,Caleb Martin,Duncan Robinson,Dewayne Dedmon,,,,
5787,BOS,2022,Jaylen Brown,Al Horford,Jayson Tatum,Marcus Smart,Daniel Theis,Grant Williams,Derrick White,Payton Pritchard,,,,,,,
5788,GSW,2022,Andrew Wiggins,Klay Thompson,Stephen Curry,Draymond Green,Kevon Looney,Jordan Poole,Moses Moody,Otto Porter Jr.,Juan Toscano-Anderson,,,,,,
5789,DAL,2022,Dorian Finney-Smith,Luka Dončić,Reggie Bullock,Jalen Brunson,Dwight Powell,Spencer Dinwiddie,Maxi Kleber,Dāvis Bertāns,Frank Ntilikina,,,,,,
5790,MIA,2022,Bam Adebayo,Jimmy Butler,Kyle Lowry,P.J. Tucker,Max Strus,Victor Oladipo,Gabe Vincent,Caleb Martin,Duncan Robinson,Dewayne Dedmon,Omer Yurtseven,Haywood Highsmith,,,
5791,BOS,2022,Derrick White,Jayson Tatum,Al Horford,Jaylen Brown,Robert Williams,Grant Williams,Payton Pritchard,Aaron Nesmith,Daniel Theis,Nik Stauskas,Malik Fitts,Juwan Morgan,,,
5792,GSW,2022,Stephen Curry,Andrew Wiggins,Klay Thompson,Draymond Green,Kevon Looney,Jordan Poole,Moses Moody,Jonathan Kuminga,Damion Lee,Nemanja Bjelica,,,,,
5793,DAL,2022,Dorian Finney-Smith,Reggie Bullock,Luka Dončić,Jalen Brunson,Dwight Powell,Spencer Dinwiddie,Maxi Kleber,Frank Ntilikina,Dāvis Bertāns,Josh Green,,,,,
5794,BOS,2022,Jayson Tatum,Jaylen Brown,Al Horford,Robert Williams,Marcus Smart,Derrick White,Grant Williams,Payton Pritchard,Malik Fitts,Luke Kornet,Juwan Morgan,Aaron Nesmith,Nik Stauskas,,
5795,MIA,2022,Jimmy Butler,Bam Adebayo,P.J. Tucker,Kyle Lowry,Max Strus,Duncan Robinson,Gabe Vincent,Victor Oladipo,Caleb Martin,Omer Yurtseven,Haywood Highsmith,,,,
5796,DAL,2022,Luka Dončić,Dorian Finney-Smith,Reggie Bullock,Jalen Brunson,Dwight Powell,Spencer Dinwiddie,Maxi Kleber,Frank Ntilikina,Dāvis Bertāns,Trey Burke,Sterling Brown,Marquese Chriss,Josh Green,,
5797,GSW,2022,Andrew Wiggins,Klay Thompson,Stephen Curry,Draymond Green,Kevon Looney,Jordan Poole,Nemanja Bjelica,Moses Moody,Juan Toscano-Anderson,Jonathan Kuminga,Damion Lee,,,,
5798,MIA,2022,Jimmy Butler,Bam Adebayo,Kyle Lowry,Max Strus,P.J. Tucker,Victor Oladipo,Gabe Vincent,Caleb Martin,Duncan Robinson,,,,,,
5799,BOS,2022,Jayson Tatum,Jaylen Brown,Marcus Smart,Al Horford,Robert Williams,Derrick White,Grant Williams,Payton Pritchard,,,,,,,
5800,BOS,2022,Jayson Tatum,Al Horford,Jaylen Brown,Marcus Smart,Robert Williams,Grant Williams,Derrick White,Payton Pritchard,,,,,,,
5801,MIA,2022,Jimmy Butler,Bam Adebayo,Kyle Lowry,Max Strus,P.J. Tucker,Victor Oladipo,Gabe Vincent,Tyler Herro,,,,,,,
5802,BOS,2022,Jayson Tatum,Jaylen Brown,Al Horford,Marcus Smart,Robert Williams,Derrick White,Grant Williams,Payton Pritchard,Daniel Theis,,,,,,
5803,GSW,2022,Klay Thompson,Stephen Curry,Draymond Green,Andrew Wiggins,Kevon Looney,Jordan Poole,Otto Porter Jr.,Andre Iguodala,,,,,,,
5804,BOS,2022,Jayson Tatum,Al Horford,Jaylen Brown,Marcus Smart,Robert Williams,Derrick White,Grant Williams,Payton Pritchard,Daniel Theis,Aaron Nesmith,Sam Hauser,Malik Fitts,Nik Stauskas,Luke Kornet,
5805,GSW,2022,Draymond Green,Stephen Curry,Andrew Wiggins,Klay Thompson,Kevon Looney,Gary Payton II,Jordan Poole,Otto Porter Jr.,Nemanja Bjelica,Moses Moody,Jonathan Kuminga,Damion Lee,Juan Toscano-Anderson,,
5806,GSW,2022,Andrew Wiggins,Klay Thompson,Stephen Curry,Draymond Green,Kevon Looney,Jordan Poole,Otto Porter Jr.,Gary Payton II,Nemanja Bjelica,Jonathan Kuminga,Damion Lee,Moses Moody,Juan Toscano-Anderson,Andre Iguodala,
5807,BOS,2022,Jayson Tatum,Jaylen Brown,Marcus Smart,Al Horford,Robert Williams,Derrick White,Grant Williams,Payton Pritchard,Sam Hauser,Aaron Nesmith,Malik Fitts,Juwan Morgan,Nik Stauskas,,
5808,GSW,2022,Andrew Wiggins,Klay Thompson,Stephen Curry,Draymond Green,Otto Porter Jr.,Kevon Looney,Jordan Poole,Gary Payton II,Nemanja Bjelica,,,,,,
5809,BOS,2022,Jayson Tatum,Marcus Smart,Jaylen Brown,Robert Williams,Al Horford,Derrick White,Grant Williams,Payton Pritchard,,,,,,,
5810,BOS,2022,Jayson Tatum,Jaylen Brown,Marcus Smart,Al Horford,Robert Williams,Derrick White,Grant Williams,Payton Pritchard,Luke Kornet,Aaron Nesmith,Sam Hauser,Juwan Morgan,Nik Stauskas,,
5811,GSW,2022,Andrew Wiggins,Klay Thompson,Stephen Curry,Draymond Green,Otto Porter Jr.,Gary Payton II,Kevon Looney,Jordan Poole,Nemanja Bjelica,Andre Iguodala,Jonathan Kuminga,Damion Lee,Moses Moody,Juan Toscano-Anderson,
5812,GSW,2022,Andrew Wiggins,Draymond Green,Klay Thompson,Stephen Curry,Otto Porter Jr.,Kevon Looney,Gary Payton II,Jordan Poole,Andre Iguodala,,,,,,
5813,BOS,2022,Jaylen Brown,Jayson Tatum,Al Horford,Marcus Smart,Robert Williams,Derrick White,Grant Williams,Payton Pritchard,Sam Hauser,Luke Kornet,Aaron Nesmith,Nik Stauskas,Juwan Morgan,,
5814,GSW,2021,Andrew Wiggins,Stephen Curry,Kelly Oubre Jr.,James Wiseman,Eric Paschall,Brad Wanamaker,Jordan Poole,Juan Toscano-Anderson,Marquese Chriss,Damion Lee,Kent Bazemore,Kevon Looney,Mychal Mulder,,
5815,BRK,2021,Kyrie Irving,Kevin Durant,Joe Harris,Spencer Dinwiddie,DeAndre Jordan,Caris LeVert,Landry Shamet,Jarrett Allen,Jeff Green,Taurean Prince,Reggie Perry,Bruce Brown,Timothé Luwawu-Cabarrot,Rodions Kurucs,Tyler Johnson
5816,LAC,2021,Paul George,Kawhi Leonard,Nicolas Batum,Patrick Beverley,Serge Ibaka,Ivica Zubac,Lou Williams,Luke Kennard,Patrick Patterson,Reggie Jackson,Terance Mann,,,,
5817,LAL,2021,Anthony Davis,LeBron James,Dennis Schröder,Kentavious Caldwell-Pope,Marc Gasol,Montrezl Harrell,Kyle Kuzma,Markieff Morris,Alex Caruso,Wesley Matthews,Talen Horton-Tucker,Quinn Cook,,,
5818,MIL,2021,Jrue Holiday,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Donte DiVincenzo,Pat Connaughton,Bobby Portis,Bryn Forbes,D.J. Wilson,Sam Merrill,,,,,
5819,BOS,2021,Marcus Smart,Jaylen Brown,Jayson Tatum,Daniel Theis,Tristan Thompson,Jeff Teague,Semi Ojeleye,Grant Williams,Payton Pritchard,Robert Williams,,,,,
5820,ATL,2021,Trae Young,De'Andre Hunter,Danilo Gallinari,Cam Reddish,John Collins,Solomon Hill,Kevin Huerter,Bogdan Bogdanović,Bruno Fernando,Brandon Goodwin,Nathan Knight,Skylar Mays,,,
5821,CHI,2021,Patrick Williams,Coby White,Lauri Markkanen,Wendell Carter Jr.,Zach LaVine,Otto Porter Jr.,Ryan Arcidiacono,Chandler Hutchison,Daniel Gafford,Adam Mokoka,,,,,
5822,CHO,2021,Terry Rozier,Devonte' Graham,Gordon Hayward,P.J. Washington,Cody Zeller,Bismack Biyombo,Miles Bridges,Cody Martin,LaMelo Ball,Jalen McDaniels,,,,,
5823,CLE,2021,Collin Sexton,Larry Nance Jr.,Isaac Okoro,Darius Garland,Andre Drummond,JaVale McGee,Cedi Osman,Dean Wade,Damyean Dotson,Dylan Windler,,,,,
5824,SAC,2021,Harrison Barnes,Buddy Hield,De'Aaron Fox,Marvin Bagley III,Richaun Holmes,Tyrese Haliburton,Cory Joseph,Hassan Whiteside,Nemanja Bjelica,,,,,,
5825,DEN,2021,Nikola Jokić,Gary Harris,Paul Millsap,Jamal Murray,Michael Porter Jr.,Will Barton,Monte Morris,PJ Dozier,Isaiah Hartenstein,Facundo Campazzo,,,,,
5826,NYK,2021,Julius Randle,RJ Barrett,Reggie Bullock,Elfrid Payton,Mitchell Robinson,Alec Burks,Obi Toppin,Kevin Knox,Immanuel Quickley,Nerlens Noel,Frank Ntilikina,,,,
5827,IND,2021,Domantas Sabonis,Malcolm Brogdon,Myles Turner,Victor Oladipo,T.J. Warren,Doug McDermott,Justin Holiday,T.J. McConnell,Aaron Holiday,,,,,,
5828,SAS,2021,DeMar DeRozan,Lonnie Walker IV,Keldon Johnson,Dejounte Murray,LaMarcus Aldridge,Rudy Gay,Devin Vassell,Patty Mills,Jakob Poeltl,,,,,,
5829,MEM,2021,Ja Morant,Dillon Brooks,Jonas Valančiūnas,Kyle Anderson,Grayson Allen,Brandon Clarke,De'Anthony Melton,Tyus Jones,Gorgui Dieng,Desmond Bane,,,,,
5830,DET,2021,Blake Griffin,Mason Plumlee,Jerami Grant,Killian Hayes,Delon Wright,Josh Jackson,Derrick Rose,Svi Mykhailiuk,Jahlil Okafor,Sekou Doumbouya,,,,,
5831,MIN,2021,Josh Okogie,Karl-Anthony Towns,Malik Beasley,Ricky Rubio,Jake Layman,D'Angelo Russell,Anthony Edwards,Jarrett Culver,Naz Reid,Juancho Hernangómez,,,,,
5832,MIA,2021,Jimmy Butler,Bam Adebayo,Tyler Herro,Duncan Robinson,Maurice Harkless,Goran Dragić,Kelly Olynyk,Andre Iguodala,Precious Achiuwa,Kendrick Nunn,,,,,
5833,ORL,2021,Nikola Vučević,Evan Fournier,Markelle Fultz,Aaron Gordon,Dwayne Bacon,Terrence Ross,Chuma Okeke,Cole Anthony,Michael Carter-Williams,Khem Birch,,,,,
5834,WAS,2021,Russell Westbrook,Bradley Beal,Deni Avdija,Thomas Bryant,Isaac Bonga,Ish Smith,Troy Brown Jr.,Dāvis Bertāns,Robin Lopez,Raul Neto,Moritz Wagner,,,,
5835,PHI,2021,Joel Embiid,Ben Simmons,Seth Curry,Tobias Harris,Danny Green,Shake Milton,Furkan Korkmaz,Mike Scott,Dwight Howard,Tyrese Maxey,,,,,
5836,DAL,2021,Josh Richardson,Luka Dončić,Dorian Finney-Smith,Tim Hardaway Jr.,Dwight Powell,Maxi Kleber,Trey Burke,Jalen Brunson,James Johnson,Willie Cauley-Stein,Josh Green,,,,
5837,PHO,2021,Mikal Bridges,Devin Booker,Chris Paul,Jae Crowder,Deandre Ayton,Cameron Johnson,Cameron Payne,Jalen Smith,Jevon Carter,Langston Galloway,Damian Jones,,,,
5838,UTA,2021,Bojan Bogdanović,Donovan Mitchell,Mike Conley,Rudy Gobert,Royce O'Neale,Joe Ingles,Jordan Clarkson,Derrick Favors,Georges Niang,Miye Oni,Udoka Azubuike,Elijah Hughes,Juwan Morgan,Shaquille Harrison,
5839,POR,2021,CJ McCollum,Damian Lillard,Derrick Jones Jr.,Jusuf Nurkić,Robert Covington,Gary Trent Jr.,Enes Freedom,Carmelo Anthony,Rodney Hood,Harry Giles,CJ Elleby,Keljin Blevins,,,
5840,NOP,2021,Brandon Ingram,Eric Bledsoe,Steven Adams,Zion Williamson,Lonzo Ball,J.J. Redick,Josh Hart,Nicolò Melli,Jaxson Hayes,Nickeil Alexander-Walker,,,,,
5841,TOR,2021,Pascal Siakam,Kyle Lowry,OG Anunoby,Fred VanVleet,Aron Baynes,Norman Powell,Matt Thomas,Chris Boucher,DeAndre' Bembry,Terence Davis,Malachi Flynn,Stanley Johnson,,,
5842,BRK,2021,Kyrie Irving,Kevin Durant,Spencer Dinwiddie,Joe Harris,DeAndre Jordan,Jarrett Allen,Landry Shamet,Caris LeVert,Jeff Green,Taurean Prince,Timothé Luwawu-Cabarrot,Tyler Johnson,Bruce Brown,Rodions Kurucs,Reggie Perry
5843,BOS,2021,Jayson Tatum,Marcus Smart,Jaylen Brown,Daniel Theis,Tristan Thompson,Payton Pritchard,Jeff Teague,Grant Williams,Semi Ojeleye,Aaron Nesmith,Javonte Green,Carsen Edwards,Tremont Waters,,
5844,LAC,2021,Paul George,Nicolas Batum,Kawhi Leonard,Patrick Beverley,Serge Ibaka,Lou Williams,Luke Kennard,Ivica Zubac,Reggie Jackson,Patrick Patterson,Terance Mann,,,,
5845,DEN,2021,Nikola Jokić,Jamal Murray,Michael Porter Jr.,Gary Harris,Paul Millsap,Monte Morris,Will Barton,PJ Dozier,Isaiah Hartenstein,Bol Bol,Facundo Campazzo,,,,
5846,DAL,2021,Luka Dončić,Dorian Finney-Smith,Tim Hardaway Jr.,Josh Richardson,Dwight Powell,Trey Burke,Maxi Kleber,Willie Cauley-Stein,Jalen Brunson,James Johnson,Boban Marjanović,Wes Iwundu,Josh Green,Tyrell Terry,
5847,LAL,2021,LeBron James,Anthony Davis,Dennis Schröder,Kentavious Caldwell-Pope,Marc Gasol,Montrezl Harrell,Kyle Kuzma,Wesley Matthews,Markieff Morris,Alex Caruso,Talen Horton-Tucker,Alfonzo McKinnie,Quinn Cook,Jared Dudley,
5848,NOP,2021,Zion Williamson,Brandon Ingram,Lonzo Ball,Eric Bledsoe,Steven Adams,Josh Hart,J.J. Redick,Nicolò Melli,Jaxson Hayes,,,,,,
5849,MIA,2021,Tyler Herro,Duncan Robinson,Bam Adebayo,Meyers Leonard,Jimmy Butler,Avery Bradley,Goran Dragić,Andre Iguodala,Precious Achiuwa,Maurice Harkless,,,,,
5850,GSW,2021,Stephen Curry,James Wiseman,Eric Paschall,Andrew Wiggins,Kelly Oubre Jr.,Jordan Poole,Brad Wanamaker,Damion Lee,Mychal Mulder,Marquese Chriss,Juan Toscano-Anderson,Kevon Looney,Kent Bazemore,,
5851,MIL,2021,Giannis Antetokounmpo,Khris Middleton,Jrue Holiday,Donte DiVincenzo,Brook Lopez,Bobby Portis,Pat Connaughton,D.J. Wilson,D.J. Augustin,Bryn Forbes,Jordan Nwora,Thanasis Antetokounmpo,Torrey Craig,Sam Merrill,
5852,IND,2021,Domantas Sabonis,Malcolm Brogdon,T.J. Warren,Myles Turner,Victor Oladipo,Justin Holiday,Doug McDermott,T.J. McConnell,Aaron Holiday,Kelan Martin,Cassius Stanley,Jalen Lecque,JaKarr Sampson,,
5853,CHI,2021,Zach LaVine,Wendell Carter Jr.,Lauri Markkanen,Coby White,Patrick Williams,Tomáš Satoranský,Garrett Temple,Otto Porter Jr.,Denzel Valentine,Daniel Gafford,Ryan Arcidiacono,Chandler Hutchison,Adam Mokoka,,
5854,OKC,2021,Luguentz Dort,Shai Gilgeous-Alexander,Darius Bazley,Al Horford,George Hill,Théo Maledon,Hamidou Diallo,Mike Muscala,Kenrich Williams,Aleksej Pokusevski,,,,,
5855,CHO,2021,Gordon Hayward,Devonte' Graham,Terry Rozier,Bismack Biyombo,P.J. Washington,Miles Bridges,Cody Martin,Caleb Martin,LaMelo Ball,Jalen McDaniels,,,,,
5856,CLE,2021,Collin Sexton,Darius Garland,Andre Drummond,Isaac Okoro,Kevin Love,Cedi Osman,Larry Nance Jr.,JaVale McGee,Dante Exum,,,,,,
5857,DET,2021,Blake Griffin,Jerami Grant,Delon Wright,Mason Plumlee,Killian Hayes,Derrick Rose,Svi Mykhailiuk,Josh Jackson,Jahlil Okafor,Sekou Doumbouya,Saddiq Bey,,,,
5858,ATL,2021,Trae Young,De'Andre Hunter,Cam Reddish,Bogdan Bogdanović,John Collins,Kevin Huerter,Bruno Fernando,Solomon Hill,Brandon Goodwin,Nathan Knight,,,,,
5859,MEM,2021,Kyle Anderson,Ja Morant,Dillon Brooks,Grayson Allen,Jonas Valančiūnas,Desmond Bane,Brandon Clarke,Tyus Jones,John Konchar,Gorgui Dieng,,,,,
5860,PHI,2021,Ben Simmons,Joel Embiid,Tobias Harris,Seth Curry,Danny Green,Shake Milton,Furkan Korkmaz,Mike Scott,Dwight Howard,Tyrese Maxey,Matisse Thybulle,,,,
5861,NYK,2021,RJ Barrett,Julius Randle,Reggie Bullock,Mitchell Robinson,Elfrid Payton,Alec Burks,Kevin Knox,Dennis Smith Jr.,Nerlens Noel,Frank Ntilikina,Theo Pinson,,,,
5862,HOU,2021,Christian Wood,James Harden,P.J. Tucker,Danuel House Jr.,David Nwaba,Jae'Sean Tate,Sterling Brown,Brodric Thomas,Bruno Caboclo,,,,,,
5863,POR,2021,CJ McCollum,Damian Lillard,Robert Covington,Derrick Jones Jr.,Jusuf Nurkić,Carmelo Anthony,Enes Freedom,Rodney Hood,Anfernee Simons,Gary Trent Jr.,,,,,
5864,PHO,2021,Devin Booker,Chris Paul,Jae Crowder,Deandre Ayton,Mikal Bridges,Cameron Johnson,Damian Jones,Cameron Payne,Langston Galloway,Jevon Carter,Jalen Smith,Frank Kaminsky,,,
5865,SAC,2021,De'Aaron Fox,Buddy Hield,Harrison Barnes,Richaun Holmes,Marvin Bagley III,Tyrese Haliburton,Cory Joseph,Nemanja Bjelica,Glenn Robinson III,Hassan Whiteside,,,,,
5866,TOR,2021,Pascal Siakam,OG Anunoby,Kyle Lowry,Fred VanVleet,Aron Baynes,Chris Boucher,Matt Thomas,Norman Powell,DeAndre' Bembry,,,,,,
5867,SAS,2021,DeMar DeRozan,Dejounte Murray,LaMarcus Aldridge,Keldon Johnson,Lonnie Walker IV,Patty Mills,Rudy Gay,Jakob Poeltl,Devin Vassell,Trey Lyles,,,,,
5868,MIN,2021,Malik Beasley,D'Angelo Russell,Josh Okogie,Karl-Anthony Towns,Jake Layman,Ricky Rubio,Anthony Edwards,Jarrett Culver,Naz Reid,Juancho Hernangómez,,,,,
5869,UTA,2021,Donovan Mitchell,Royce O'Neale,Bojan Bogdanović,Mike Conley,Rudy Gobert,Joe Ingles,Jordan Clarkson,Derrick Favors,Georges Niang,Juwan Morgan,,,,,
5870,ORL,2021,Nikola Vučević,Markelle Fultz,Aaron Gordon,Evan Fournier,Dwayne Bacon,Terrence Ross,Michael Carter-Williams,Chuma Okeke,Cole Anthony,Khem Birch,,,,,
5871,WAS,2021,Bradley Beal,Russell Westbrook,Thomas Bryant,Isaac Bonga,Deni Avdija,Ish Smith,Dāvis Bertāns,Jerome Robinson,Robin Lopez,Troy Brown Jr.,Raul Neto,,,,
5872,GSW,2021,Stephen Curry,Andrew Wiggins,Kelly Oubre Jr.,James Wiseman,Juan Toscano-Anderson,Damion Lee,Eric Paschall,Kevon Looney,Brad Wanamaker,Jordan Poole,Mychal Mulder,,,,
5873,CHI,2021,Coby White,Zach LaVine,Wendell Carter Jr.,Lauri Markkanen,Patrick Williams,Tomáš Satoranský,Otto Porter Jr.,Garrett Temple,Chandler Hutchison,,,,,,
5874,BRK,2021,Kevin Durant,Kyrie Irving,Joe Harris,DeAndre Jordan,Spencer Dinwiddie,Caris LeVert,Jarrett Allen,Landry Shamet,Jeff Green,Timothé Luwawu-Cabarrot,Taurean Prince,,,,
5875,CHO,2021,Gordon Hayward,Devonte' Graham,P.J. Washington,Terry Rozier,Bismack Biyombo,Miles Bridges,LaMelo Ball,Cody Martin,Caleb Martin,Jalen McDaniels,,,,,
5876,PHI,2021,Ben Simmons,Tobias Harris,Seth Curry,Danny Green,Dwight Howard,Shake Milton,Tyrese Maxey,Mike Scott,Tony Bradley,Furkan Korkmaz,Matisse Thybulle,Dakota Mathias,Isaiah Joe,Terrance Ferguson,
5877,CLE,2021,Larry Nance Jr.,Collin Sexton,Darius Garland,Andre Drummond,Kevin Love,Dante Exum,Cedi Osman,Damyean Dotson,JaVale McGee,Dean Wade,Marques Bolden,Thon Maker,Lamar Stevens,,
5878,BOS,2021,Jayson Tatum,Jaylen Brown,Marcus Smart,Tristan Thompson,Daniel Theis,Payton Pritchard,Grant Williams,Jeff Teague,Robert Williams,Semi Ojeleye,,,,,
5879,IND,2021,Domantas Sabonis,T.J. Warren,Malcolm Brogdon,Myles Turner,Aaron Holiday,Justin Holiday,Doug McDermott,T.J. McConnell,,,,,,,
5880,DAL,2021,Josh Richardson,Luka Dončić,Tim Hardaway Jr.,Dorian Finney-Smith,Dwight Powell,James Johnson,Willie Cauley-Stein,Trey Burke,Maxi Kleber,Jalen Brunson,Wes Iwundu,Josh Green,Boban Marjanović,Tyrell Terry,
5881,LAC,2021,Luke Kennard,Paul George,Patrick Beverley,Nicolas Batum,Serge Ibaka,Terance Mann,Reggie Jackson,Amir Coffey,Ivica Zubac,Mfiondu Kabengele,Daniel Oturu,Lou Williams,Patrick Patterson,,
5882,MIN,2021,Naz Reid,Malik Beasley,D'Angelo Russell,Jake Layman,Josh Okogie,Jarrett Culver,Anthony Edwards,Ricky Rubio,Jordan McLaughlin,Jarred Vanderbilt,Juancho Hernangómez,Ed Davis,Jaden McDaniels,,
5883,LAL,2021,Kyle Kuzma,LeBron James,Dennis Schröder,Kentavious Caldwell-Pope,Marc Gasol,Talen Horton-Tucker,Montrezl Harrell,Wesley Matthews,Markieff Morris,Alex Caruso,Quinn Cook,Alfonzo McKinnie,Jared Dudley,Kostas Antetokounmpo,
5884,SAS,2021,Lonnie Walker IV,DeMar DeRozan,Dejounte Murray,Keldon Johnson,LaMarcus Aldridge,Rudy Gay,Jakob Poeltl,Patty Mills,Devin Vassell,Trey Lyles,,,,,
5885,NOP,2021,Zion Williamson,Lonzo Ball,Brandon Ingram,Steven Adams,Eric Bledsoe,Josh Hart,J.J. Redick,Jaxson Hayes,,,,,,,
5886,MIL,2021,Khris Middleton,Giannis Antetokounmpo,Jrue Holiday,Donte DiVincenzo,Brook Lopez,Bobby Portis,Bryn Forbes,Pat Connaughton,D.J. Augustin,Jordan Nwora,Sam Merrill,D.J. Wilson,Thanasis Antetokounmpo,Torrey Craig,
5887,NYK,2021,RJ Barrett,Julius Randle,Mitchell Robinson,Elfrid Payton,Reggie Bullock,Kevin Knox,Alec Burks,Frank Ntilikina,Nerlens Noel,Jared Harper,Theo Pinson,Ignas Brazdeikis,,,
5888,PHO,2021,Mikal Bridges,Devin Booker,Deandre Ayton,Chris Paul,Jae Crowder,Cameron Johnson,Cameron Payne,Frank Kaminsky,Langston Galloway,Jevon Carter,Ty-Shon Alexander,Damian Jones,,,
5889,SAC,2021,Buddy Hield,Harrison Barnes,Marvin Bagley III,De'Aaron Fox,Richaun Holmes,Tyrese Haliburton,Cory Joseph,Glenn Robinson III,Nemanja Bjelica,Hassan Whiteside,Kyle Guy,Jahmi'us Ramsey,Robert Woodard II,Justin James,
5890,ORL,2021,Markelle Fultz,Nikola Vučević,Evan Fournier,Aaron Gordon,Dwayne Bacon,Terrence Ross,Michael Carter-Williams,Khem Birch,Cole Anthony,Chuma Okeke,Gary Clark,,,,
5891,WAS,2021,Bradley Beal,Deni Avdija,Thomas Bryant,Raul Neto,Isaac Bonga,Troy Brown Jr.,Dāvis Bertāns,Ish Smith,Robin Lopez,Jerome Robinson,,,,,
5892,DET,2021,Jerami Grant,Mason Plumlee,Saddiq Bey,Killian Hayes,Josh Jackson,Delon Wright,Wayne Ellington,Isaiah Stewart,Svi Mykhailiuk,Sekou Doumbouya,,,,,
5893,ATL,2021,Trae Young,De'Andre Hunter,Cam Reddish,John Collins,Clint Capela,Bogdan Bogdanović,Kevin Huerter,Solomon Hill,Rajon Rondo,Bruno Fernando,,,,,
5894,MEM,2021,Jonas Valančiūnas,Kyle Anderson,Dillon Brooks,Grayson Allen,Ja Morant,Tyus Jones,Brandon Clarke,Desmond Bane,John Konchar,Gorgui Dieng,,,,,
5895,BRK,2021,Joe Harris,Timothé Luwawu-Cabarrot,Caris LeVert,DeAndre Jordan,Taurean Prince,Chris Chiozza,Landry Shamet,Jeff Green,Jarrett Allen,,,,,,
5896,HOU,2021,Christian Wood,David Nwaba,James Harden,Danuel House Jr.,P.J. Tucker,Sterling Brown,Jae'Sean Tate,Bruno Caboclo,Brodric Thomas,,,,,,
5897,DEN,2021,Nikola Jokić,Jamal Murray,Gary Harris,Paul Millsap,Michael Porter Jr.,Monte Morris,Will Barton,PJ Dozier,Isaiah Hartenstein,Facundo Campazzo,Bol Bol,R.J. Hampton,Vlatko Čančar,Zeke Nnaji,
5898,POR,2021,Robert Covington,CJ McCollum,Derrick Jones Jr.,Damian Lillard,Jusuf Nurkić,Gary Trent Jr.,Enes Freedom,Rodney Hood,Anfernee Simons,,,,,,
5899,LAL,2021,Anthony Davis,Dennis Schröder,LeBron James,Kentavious Caldwell-Pope,Marc Gasol,Montrezl Harrell,Kyle Kuzma,Wesley Matthews,Talen Horton-Tucker,Markieff Morris,,,,,
