,Team,Season Year,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15
627,MIL,2024,Damian Lillard,Giannis Antetokounmpo,Brook Lopez,Malik Beasley,Khris Middleton,Bobby Portis,MarJon Beauchamp,A.J. Green,Cameron Payne,Thanasis Antetokounmpo,Chris Livingston,Robin Lopez,,,
628,BRK,2024,Mikal Bridges,Cameron Johnson,Spencer Dinwiddie,Nic Claxton,Cam Thomas,Dorian Finney-Smith,Dennis Smith Jr.,Royce O'Neale,Day'Ron Sharpe,,,,,,
629,ATL,2024,Trae Young,Saddiq Bey,De'Andre Hunter,Dejounte Murray,Clint Capela,Bogdan Bogdanović,Onyeka Okongwu,Wesley Matthews,Garrison Mathews,,,,,,
630,CHO,2024,Terry Rozier,Miles Bridges,Brandon Miller,Gordon Hayward,Nick Richards,P.J. Washington,Bryce McGowens,Ish Smith,,,,,,,
631,CHI,2024,Coby White,DeMar DeRozan,Nikola Vučević,Alex Caruso,Patrick Williams,Ayo Dosunmu,Torrey Craig,Andre Drummond,Jevon Carter,Julian Phillips,Dalen Terry,,,,
632,ORL,2024,Franz Wagner,Paolo Banchero,Goga Bitadze,Anthony Black,Jalen Suggs,Cole Anthony,Gary Harris,Moritz Wagner,Joe Ingles,Caleb Houstan,,,,,
633,CLE,2024,Darius Garland,Donovan Mitchell,Evan Mobley,Max Strus,Jarrett Allen,Isaac Okoro,Georges Niang,Dean Wade,Tristan Thompson,,,,,,
634,UTA,2024,Keyonte George,Ochai Agbaji,Simone Fontecchio,John Collins,Omer Yurtseven,Walker Kessler,Taylor Hendricks,Collin Sexton,Kris Dunn,Talen Horton-Tucker,Luka Šamanić,,,,
635,DAL,2024,Luka Dončić,Kyrie Irving,Dante Exum,Derrick Jones Jr.,Dereck Lively II,Tim Hardaway Jr.,Olivier-Maxence Prosper,Seth Curry,Dwight Powell,Jaden Hardy,A.J. Lawson,Markieff Morris,Richaun Holmes,,
636,MEM,2024,Desmond Bane,Jaren Jackson Jr.,Bismack Biyombo,David Roddy,Derrick Rose,Santi Aldama,Jaylen Nowell,Vince Williams Jr.,John Konchar,Xavier Tillman Sr.,,,,,
637,DET,2024,Cade Cunningham,Bojan Bogdanović,Jalen Duren,Isaiah Stewart,Killian Hayes,Jaden Ivey,Isaiah Livers,Alec Burks,Ausar Thompson,James Wiseman,Marcus Sasser,,,,
638,POR,2024,Shaedon Sharpe,Anfernee Simons,Toumani Camara,Duop Reath,Malcolm Brogdon,Matisse Thybulle,Scoot Henderson,Jabari Walker,Kris Murray,,,,,,
639,GSW,2024,Stephen Curry,Draymond Green,Andrew Wiggins,Klay Thompson,Kevon Looney,Moses Moody,Brandin Podziemski,Chris Paul,Dario Šarić,Jonathan Kuminga,,,,,
640,OKC,2024,Shai Gilgeous-Alexander,Jalen Williams,Chet Holmgren,Josh Giddey,Luguentz Dort,Cason Wallace,Tre Mann,Aaron Wiggins,Kenrich Williams,Isaiah Joe,Jaylin Williams,,,,
641,HOU,2024,Dillon Brooks,Fred VanVleet,Alperen Sengun,Jabari Smith Jr.,Jalen Green,Aaron Holiday,Tari Eason,Jae'Sean Tate,Reggie Bullock,,,,,,
642,DEN,2024,Nikola Jokić,Kentavious Caldwell-Pope,Michael Porter Jr.,Aaron Gordon,Jamal Murray,Reggie Jackson,Peyton Watson,Christian Braun,Julian Strawther,DeAndre Jordan,,,,,
643,LAC,2024,Paul George,Kawhi Leonard,James Harden,Ivica Zubac,Terance Mann,Norman Powell,Daniel Theis,Kobe Brown,Russell Westbrook,,,,,,
644,SAS,2024,Victor Wembanyama,Cedi Osman,Keldon Johnson,Devin Vassell,Zach Collins,Tre Jones,Doug McDermott,Jeremy Sochan,Malaki Branham,Julian Champagnie,,,,,
645,MIN,2024,Anthony Edwards,Mike Conley,Karl-Anthony Towns,Rudy Gobert,Nickeil Alexander-Walker,Naz Reid,Troy Brown Jr.,Kyle Anderson,Shake Milton,,,,,,
646,MIA,2024,Jimmy Butler,Orlando Robinson,Duncan Robinson,Caleb Martin,Kyle Lowry,Jaime Jaquez Jr.,Josh Richardson,Kevin Love,Nikola Jović,,,,,,
647,TOR,2024,OG Anunoby,Pascal Siakam,Dennis Schröder,Scottie Barnes,Jakob Poeltl,Gary Trent Jr.,Otto Porter Jr.,Precious Achiuwa,Chris Boucher,Malachi Flynn,,,,,
648,PHI,2024,Tyrese Maxey,Joel Embiid,Tobias Harris,Nicolas Batum,De'Anthony Melton,Patrick Beverley,Kelly Oubre Jr.,Marcus Morris,Paul Reed,Robert Covington,,,,,
649,WAS,2024,Kyle Kuzma,Jordan Poole,Tyus Jones,Deni Avdija,Daniel Gafford,Bilal Coulibaly,Corey Kispert,Danilo Gallinari,Jared Butler,Mike Muscala,,,,,
650,NOP,2024,Brandon Ingram,Herbert Jones,Zion Williamson,CJ McCollum,Jonas Valančiūnas,Trey Murphy III,Jose Alvarado,Dyson Daniels,Naji Marshall,Jordan Hawkins,Cody Zeller,Kira Lewis Jr.,Jeremiah Robinson-Earl,,
651,LAL,2024,Anthony Davis,Cam Reddish,Taurean Prince,LeBron James,D'Angelo Russell,Austin Reaves,Rui Hachimura,Max Christie,Jaxson Hayes,Jarred Vanderbilt,Christian Wood,Maxwell Lewis,Jalen Hood-Schifino,,
652,IND,2024,Tyrese Haliburton,Myles Turner,Buddy Hield,Bruce Brown,Obi Toppin,Aaron Nesmith,Bennedict Mathurin,Isaiah Jackson,Andrew Nembhard,T.J. McConnell,,,,,
653,MIL,2024,Damian Lillard,Giannis Antetokounmpo,Brook Lopez,Malik Beasley,Khris Middleton,Bobby Portis,Cameron Payne,MarJon Beauchamp,A.J. Green,Andre Jackson Jr.,,,,,
654,NYK,2024,Julius Randle,Jalen Brunson,RJ Barrett,Donte DiVincenzo,Mitchell Robinson,Isaiah Hartenstein,Josh Hart,Immanuel Quickley,Quentin Grimes,,,,,,
655,BOS,2024,Jayson Tatum,Jrue Holiday,Derrick White,Kristaps Porziņģis,Jaylen Brown,Al Horford,Sam Hauser,Payton Pritchard,Luke Kornet,,,,,,
656,WAS,2024,Kyle Kuzma,Tyus Jones,Deni Avdija,Jordan Poole,Daniel Gafford,Bilal Coulibaly,Corey Kispert,Danilo Gallinari,Mike Muscala,Jared Butler,Eugene Omoruyi,Anthony Gill,Patrick Baldwin Jr.,Jules Bernard,
657,BRK,2024,Spencer Dinwiddie,Mikal Bridges,Cam Thomas,Nic Claxton,Cameron Johnson,Royce O'Neale,Dorian Finney-Smith,Day'Ron Sharpe,Trendon Watford,Harry Giles,,,,,
658,TOR,2024,OG Anunoby,Scottie Barnes,Pascal Siakam,Dennis Schröder,Jakob Poeltl,Precious Achiuwa,Gary Trent Jr.,Malachi Flynn,Chris Boucher,Otto Porter Jr.,,,,,
659,CHO,2024,Terry Rozier,Miles Bridges,Brandon Miller,Gordon Hayward,Mark Williams,Nick Richards,P.J. Washington,Ish Smith,Bryce McGowens,,,,,,
660,HOU,2024,Fred VanVleet,Jalen Green,Alperen Sengun,Dillon Brooks,Jabari Smith Jr.,Jeff Green,Tari Eason,Aaron Holiday,Jae'Sean Tate,,,,,,
661,DEN,2024,Michael Porter Jr.,Nikola Jokić,Jamal Murray,Kentavious Caldwell-Pope,Aaron Gordon,Peyton Watson,Reggie Jackson,Christian Braun,DeAndre Jordan,Justin Holiday,Julian Strawther,,,,
662,MIN,2024,Rudy Gobert,Nickeil Alexander-Walker,Mike Conley,Karl-Anthony Towns,Anthony Edwards,Troy Brown Jr.,Naz Reid,Kyle Anderson,Shake Milton,Luka Garza,Wendell Moore Jr.,,,,
663,MEM,2024,Desmond Bane,Jaren Jackson Jr.,David Roddy,Derrick Rose,Bismack Biyombo,Santi Aldama,Jaylen Nowell,Vince Williams Jr.,Xavier Tillman Sr.,John Konchar,Kenneth Lofton Jr.,Ziaire Williams,Jacob Gilyard,,
664,CLE,2024,Donovan Mitchell,Max Strus,Darius Garland,Jarrett Allen,Dean Wade,Craig Porter Jr.,Isaac Okoro,Georges Niang,Tristan Thompson,Sam Merrill,Damian Jones,,,,
665,MIA,2024,Jimmy Butler,Caleb Martin,Kyle Lowry,Duncan Robinson,Orlando Robinson,Jaime Jaquez Jr.,Josh Richardson,Kevin Love,,,,,,,
666,GSW,2024,Stephen Curry,Klay Thompson,Draymond Green,Andrew Wiggins,Kevon Looney,Jonathan Kuminga,Brandin Podziemski,Dario Šarić,Moses Moody,Cory Joseph,,,,,
667,OKC,2024,Shai Gilgeous-Alexander,Jalen Williams,Luguentz Dort,Chet Holmgren,Josh Giddey,Cason Wallace,Isaiah Joe,Aaron Wiggins,Kenrich Williams,Jaylin Williams,,,,,
668,DET,2024,Cade Cunningham,Killian Hayes,Isaiah Stewart,Bojan Bogdanović,Marvin Bagley III,Jaden Ivey,Ausar Thompson,James Wiseman,Alec Burks,Isaiah Livers,Marcus Sasser,Kevin Knox,Joe Harris,,
669,ORL,2024,Franz Wagner,Paolo Banchero,Goga Bitadze,Anthony Black,Gary Harris,Caleb Houstan,Cole Anthony,Moritz Wagner,Joe Ingles,Chuma Okeke,Jett Howard,Admiral Schofield,,,
670,ATL,2024,Bogdan Bogdanović,Saddiq Bey,De'Andre Hunter,Dejounte Murray,Clint Capela,Onyeka Okongwu,Patty Mills,Trent Forrest,Wesley Matthews,Garrison Mathews,,,,,
671,PHI,2024,Tyrese Maxey,Joel Embiid,De'Anthony Melton,Tobias Harris,Nicolas Batum,Kelly Oubre Jr.,Patrick Beverley,Marcus Morris,Paul Reed,Mo Bamba,,,,,
672,SAC,2024,Domantas Sabonis,De'Aaron Fox,Harrison Barnes,Keegan Murray,Kevin Huerter,Malik Monk,Sasha Vezenkov,Keon Ellis,Trey Lyles,JaVale McGee,,,,,
673,PHO,2024,Eric Gordon,Devin Booker,Jusuf Nurkić,Josh Okogie,Keita Bates-Diop,Yuta Watanabe,Chimezie Metu,Jordan Goodwin,Drew Eubanks,Nassir Little,,,,,
674,DAL,2024,Luka Dončić,Derrick Jones Jr.,Dante Exum,Dereck Lively II,Kyrie Irving,Tim Hardaway Jr.,Seth Curry,Dwight Powell,Markieff Morris,A.J. Lawson,Olivier-Maxence Prosper,,,,
675,POR,2024,Matisse Thybulle,Anfernee Simons,Toumani Camara,Shaedon Sharpe,Duop Reath,Scoot Henderson,Jabari Walker,Kris Murray,Justin Minaya,,,,,,
676,CHI,2024,Coby White,DeMar DeRozan,Nikola Vučević,Patrick Williams,Alex Caruso,Ayo Dosunmu,Torrey Craig,Andre Drummond,Jevon Carter,Julian Phillips,,,,,
677,SAS,2024,Keldon Johnson,Jeremy Sochan,Devin Vassell,Victor Wembanyama,Malaki Branham,Tre Jones,Zach Collins,Doug McDermott,Cedi Osman,Julian Champagnie,,,,,
678,LAC,2024,Ivica Zubac,Kawhi Leonard,Paul George,James Harden,Terance Mann,Norman Powell,Russell Westbrook,Kobe Brown,,,,,,,
679,UTA,2024,John Collins,Simone Fontecchio,Walker Kessler,Keyonte George,Jordan Clarkson,Talen Horton-Tucker,Kelly Olynyk,Collin Sexton,Ochai Agbaji,Taylor Hendricks,,,,,
680,IND,2024,Tyrese Haliburton,Buddy Hield,Obi Toppin,Myles Turner,Bruce Brown,Bennedict Mathurin,Aaron Nesmith,Isaiah Jackson,T.J. McConnell,Oscar Tshiebwe,Kendall Brown,Ben Sheppard,Jarace Walker,Isaiah Wong,
681,LAL,2024,Anthony Davis,LeBron James,Cam Reddish,D'Angelo Russell,Taurean Prince,Austin Reaves,Max Christie,Jarred Vanderbilt,Rui Hachimura,Jaxson Hayes,,,,,
682,DEN,2024,Nikola Jokić,Kentavious Caldwell-Pope,Jamal Murray,Aaron Gordon,Michael Porter Jr.,Julian Strawther,Peyton Watson,Reggie Jackson,Zeke Nnaji,Christian Braun,,,,,
683,ATL,2024,Saddiq Bey,Dejounte Murray,Clint Capela,Trae Young,Garrison Mathews,Bogdan Bogdanović,Onyeka Okongwu,Wesley Matthews,AJ Griffin,,,,,,
684,MIA,2024,Caleb Martin,Jimmy Butler,Kyle Lowry,Duncan Robinson,Orlando Robinson,Josh Richardson,Jaime Jaquez Jr.,Kevin Love,Thomas Bryant,,,,,,
685,CHO,2024,Terry Rozier,Miles Bridges,Gordon Hayward,Brandon Miller,Nick Richards,P.J. Washington,Bryce McGowens,Ish Smith,JT Thor,,,,,,
686,IND,2024,Bruce Brown,Tyrese Haliburton,Myles Turner,Buddy Hield,Obi Toppin,Bennedict Mathurin,Aaron Nesmith,Isaiah Jackson,T.J. McConnell,,,,,,
687,DET,2024,Cade Cunningham,Bojan Bogdanović,Isaiah Stewart,Ausar Thompson,Killian Hayes,Jaden Ivey,Isaiah Livers,Alec Burks,James Wiseman,Kevin Knox,,,,,
688,SAS,2024,Keldon Johnson,Jeremy Sochan,Malaki Branham,Victor Wembanyama,Devin Vassell,Tre Jones,Doug McDermott,Zach Collins,Cedi Osman,Julian Champagnie,Sandro Mamukelashvili,,,,
689,HOU,2024,Fred VanVleet,Jabari Smith Jr.,Alperen Sengun,Dillon Brooks,Jalen Green,Tari Eason,Jeff Green,Aaron Holiday,Amen Thompson,Jae'Sean Tate,,,,,
690,POR,2024,Shaedon Sharpe,Anfernee Simons,Toumani Camara,Matisse Thybulle,Duop Reath,Scoot Henderson,Jabari Walker,Moses Brown,,,,,,,
691,LAC,2024,Paul George,Kawhi Leonard,James Harden,Ivica Zubac,Terance Mann,Norman Powell,Russell Westbrook,Daniel Theis,Kobe Brown,,,,,,
692,DAL,2024,Luka Dončić,Dereck Lively II,Dante Exum,Seth Curry,Derrick Jones Jr.,Jaden Hardy,Markieff Morris,Olivier-Maxence Prosper,A.J. Lawson,Dwight Powell,,,,,
693,MEM,2024,Jaren Jackson Jr.,Desmond Bane,David Roddy,Santi Aldama,Derrick Rose,Vince Williams Jr.,John Konchar,Ziaire Williams,Bismack Biyombo,Jaylen Nowell,Xavier Tillman Sr.,,,,
694,CHI,2024,Coby White,DeMar DeRozan,Patrick Williams,Nikola Vučević,Ayo Dosunmu,Torrey Craig,Andre Drummond,Jevon Carter,Dalen Terry,Julian Phillips,,,,,
695,MIL,2024,Giannis Antetokounmpo,Damian Lillard,Brook Lopez,Malik Beasley,Khris Middleton,Bobby Portis,Cameron Payne,MarJon Beauchamp,A.J. Green,,,,,,
696,MIN,2024,Karl-Anthony Towns,Troy Brown Jr.,Mike Conley,Rudy Gobert,Nickeil Alexander-Walker,Jaden McDaniels,Naz Reid,Shake Milton,Kyle Anderson,Jordan McLaughlin,Josh Minott,Wendell Moore Jr.,Daishen Nix,,
697,NOP,2024,Jonas Valančiūnas,Zion Williamson,Herbert Jones,Brandon Ingram,CJ McCollum,Dyson Daniels,Trey Murphy III,Jose Alvarado,Naji Marshall,,,,,,
698,TOR,2024,Scottie Barnes,OG Anunoby,Pascal Siakam,Dennis Schröder,Jakob Poeltl,Precious Achiuwa,Gary Trent Jr.,Malachi Flynn,Chris Boucher,Gradey Dick,,,,,
699,NYK,2024,Jalen Brunson,Julius Randle,RJ Barrett,Jericho Sims,Donte DiVincenzo,Josh Hart,Quentin Grimes,Isaiah Hartenstein,Miles McBride,,,,,,
700,UTA,2024,Keyonte George,Simone Fontecchio,Ochai Agbaji,Jordan Clarkson,Kelly Olynyk,Collin Sexton,Taylor Hendricks,Kris Dunn,Luka Šamanić,Talen Horton-Tucker,Omer Yurtseven,,,,
701,OKC,2024,Shai Gilgeous-Alexander,Cason Wallace,Chet Holmgren,Josh Giddey,Jalen Williams,Ousmane Dieng,Vasilije Micić,Isaiah Joe,Tre Mann,Jaylin Williams,Dāvis Bertāns,Aleksej Pokusevski,Lindy Waters III,Kenrich Williams,Aaron Wiggins
702,CLE,2024,Darius Garland,Donovan Mitchell,Dean Wade,Max Strus,Jarrett Allen,Tristan Thompson,Isaac Okoro,Georges Niang,Sam Merrill,,,,,,
703,ORL,2024,Paolo Banchero,Franz Wagner,Goga Bitadze,Jalen Suggs,Anthony Black,Gary Harris,Joe Ingles,Cole Anthony,Moritz Wagner,Jonathan Isaac,,,,,
704,WAS,2024,Kyle Kuzma,Jordan Poole,Deni Avdija,Tyus Jones,Mike Muscala,Bilal Coulibaly,Corey Kispert,Jared Butler,Patrick Baldwin Jr.,Danilo Gallinari,Anthony Gill,Jules Bernard,Eugene Omoruyi,,
705,PHI,2024,Tobias Harris,Joel Embiid,De'Anthony Melton,Tyrese Maxey,Nicolas Batum,Kelly Oubre Jr.,Robert Covington,Paul Reed,Marcus Morris,Patrick Beverley,Danuel House Jr.,Jaden Springer,Furkan Korkmaz,Mo Bamba,KJ Martin
706,BRK,2024,Mikal Bridges,Spencer Dinwiddie,Cameron Johnson,Cam Thomas,Nic Claxton,Dorian Finney-Smith,Royce O'Neale,Day'Ron Sharpe,Trendon Watford,Harry Giles,Armoni Brooks,Jalen Wilson,,,
707,SAC,2024,Domantas Sabonis,Keegan Murray,De'Aaron Fox,Harrison Barnes,Kevin Huerter,Malik Monk,Trey Lyles,Keon Ellis,Sasha Vezenkov,JaVale McGee,Kessler Edwards,Chris Duarte,Davion Mitchell,Colby Jones,Jalen Slawson
708,CLE,2024,Darius Garland,Max Strus,Jarrett Allen,Donovan Mitchell,Dean Wade,Georges Niang,Caris LeVert,Isaac Okoro,Tristan Thompson,,,,,,
709,BOS,2024,Jayson Tatum,Derrick White,Jaylen Brown,Jrue Holiday,Kristaps Porziņģis,Al Horford,Sam Hauser,Payton Pritchard,Luke Kornet,,,,,,
710,DEN,2024,Aaron Gordon,Reggie Jackson,Michael Porter Jr.,Nikola Jokić,Kentavious Caldwell-Pope,DeAndre Jordan,Julian Strawther,Christian Braun,Peyton Watson,Justin Holiday,,,,,
711,CHI,2024,Ayo Dosunmu,DeMar DeRozan,Coby White,Nikola Vučević,Patrick Williams,Torrey Craig,Jevon Carter,Andre Drummond,Dalen Terry,Julian Phillips,,,,,
712,LAL,2024,LeBron James,Taurean Prince,Anthony Davis,D'Angelo Russell,Cam Reddish,Austin Reaves,Rui Hachimura,Jaxson Hayes,Max Christie,,,,,,
713,DAL,2024,Luka Dončić,Grant Williams,Dante Exum,Dereck Lively II,Seth Curry,Tim Hardaway Jr.,Jaden Hardy,Richaun Holmes,Markieff Morris,Olivier-Maxence Prosper,,,,,
714,SAC,2024,Keegan Murray,Domantas Sabonis,De'Aaron Fox,Harrison Barnes,Kevin Huerter,Malik Monk,Trey Lyles,Sasha Vezenkov,Davion Mitchell,Chris Duarte,Keon Ellis,Kessler Edwards,Jordan Ford,JaVale McGee,
715,LAC,2024,Kawhi Leonard,Terance Mann,James Harden,Ivica Zubac,Paul George,Norman Powell,Kobe Brown,Russell Westbrook,Daniel Theis,Bones Hyland,Amir Coffey,Xavier Moon,,,
716,GSW,2024,Stephen Curry,Klay Thompson,Draymond Green,Andrew Wiggins,Kevon Looney,Chris Paul,Brandin Podziemski,Jonathan Kuminga,Moses Moody,Dario Šarić,Trayce Jackson-Davis,,,,
717,PHO,2024,Devin Booker,Jusuf Nurkić,Bradley Beal,Chimezie Metu,Josh Okogie,Eric Gordon,Jordan Goodwin,Yuta Watanabe,Drew Eubanks,Keita Bates-Diop,Bol Bol,,,,
718,PHI,2024,Tyrese Maxey,Joel Embiid,Tobias Harris,De'Anthony Melton,Nicolas Batum,Kelly Oubre Jr.,Robert Covington,Marcus Morris,Paul Reed,Patrick Beverley,Jaden Springer,Danuel House Jr.,Furkan Korkmaz,KJ Martin,Mo Bamba
719,DET,2024,Bojan Bogdanović,Killian Hayes,Cade Cunningham,Ausar Thompson,Isaiah Stewart,Isaiah Livers,Jaden Ivey,James Wiseman,Alec Burks,Kevin Knox,Marcus Sasser,,,,
720,MEM,2024,Jaren Jackson Jr.,David Roddy,Derrick Rose,Vince Williams Jr.,Bismack Biyombo,Ziaire Williams,Santi Aldama,Jake LaRavia,Jacob Gilyard,Jaylen Nowell,John Konchar,,,,
721,HOU,2024,Fred VanVleet,Jabari Smith Jr.,Dillon Brooks,Alperen Sengun,Jalen Green,Tari Eason,Jae'Sean Tate,Aaron Holiday,Jeff Green,Jock Landale,Reggie Bullock,,,,
722,CHO,2024,Nick Richards,Brandon Miller,Terry Rozier,Gordon Hayward,Miles Bridges,Bryce McGowens,Ish Smith,JT Thor,P.J. Washington,,,,,,
723,MIA,2024,Duncan Robinson,Caleb Martin,Jimmy Butler,Kyle Lowry,Orlando Robinson,Jaime Jaquez Jr.,Jamal Cain,Kevin Love,Thomas Bryant,,,,,,
724,IND,2024,Myles Turner,Tyrese Haliburton,Bruce Brown,Buddy Hield,Obi Toppin,Aaron Nesmith,Bennedict Mathurin,T.J. McConnell,Isaiah Jackson,Jarace Walker,Ben Sheppard,Jordan Nwora,Oscar Tshiebwe,,
725,MIL,2024,Giannis Antetokounmpo,Malik Beasley,Damian Lillard,Brook Lopez,Khris Middleton,Bobby Portis,MarJon Beauchamp,Cameron Payne,Andre Jackson Jr.,Thanasis Antetokounmpo,A.J. Green,Robin Lopez,,,
726,BRK,2024,Mikal Bridges,Spencer Dinwiddie,Cameron Johnson,Nic Claxton,Cam Thomas,Dorian Finney-Smith,Royce O'Neale,Trendon Watford,Day'Ron Sharpe,,,,,,
727,PHO,2024,Devin Booker,Kevin Durant,Bradley Beal,Jusuf Nurkić,Chimezie Metu,Nassir Little,Jordan Goodwin,Keita Bates-Diop,Yuta Watanabe,Drew Eubanks,,,,,
728,LAL,2024,Anthony Davis,D'Angelo Russell,Taurean Prince,Cam Reddish,Rui Hachimura,Austin Reaves,Christian Wood,Jarred Vanderbilt,Max Christie,Jaxson Hayes,,,,,
729,SAS,2024,Keldon Johnson,Devin Vassell,Victor Wembanyama,Jeremy Sochan,Malaki Branham,Tre Jones,Zach Collins,Cedi Osman,Doug McDermott,Julian Champagnie,,,,,
730,ATL,2024,Trae Young,Saddiq Bey,Dejounte Murray,Clint Capela,Wesley Matthews,Bogdan Bogdanović,Onyeka Okongwu,Garrison Mathews,,,,,,,
731,TOR,2024,Dennis Schröder,OG Anunoby,Pascal Siakam,Scottie Barnes,Jakob Poeltl,Gary Trent Jr.,Malachi Flynn,Precious Achiuwa,Chris Boucher,,,,,,
732,NYK,2024,Julius Randle,Jalen Brunson,Donte DiVincenzo,RJ Barrett,Jericho Sims,Isaiah Hartenstein,Josh Hart,Immanuel Quickley,Quentin Grimes,,,,,,
733,UTA,2024,Simone Fontecchio,Collin Sexton,Kelly Olynyk,Lauri Markkanen,Keyonte George,Ochai Agbaji,Talen Horton-Tucker,Walker Kessler,Taylor Hendricks,Kris Dunn,Omer Yurtseven,,,,
734,NOP,2024,Jonas Valančiūnas,CJ McCollum,Brandon Ingram,Herbert Jones,Dyson Daniels,Trey Murphy III,Naji Marshall,Jordan Hawkins,Jose Alvarado,Cody Zeller,Kira Lewis Jr.,Jeremiah Robinson-Earl,,,
735,WAS,2024,Jordan Poole,Deni Avdija,Kyle Kuzma,Tyus Jones,Daniel Gafford,Bilal Coulibaly,Corey Kispert,Danilo Gallinari,Jared Butler,Anthony Gill,Patrick Baldwin Jr.,Mike Muscala,,,
736,CLE,2024,Donovan Mitchell,Jarrett Allen,Darius Garland,Max Strus,Dean Wade,Caris LeVert,Georges Niang,Isaac Okoro,Tristan Thompson,,,,,,
737,BOS,2024,Jrue Holiday,Jayson Tatum,Jaylen Brown,Derrick White,Kristaps Porziņģis,Al Horford,Sam Hauser,Payton Pritchard,Lamar Stevens,,,,,,
738,MIN,2024,Anthony Edwards,Karl-Anthony Towns,Rudy Gobert,Mike Conley,Jaden McDaniels,Naz Reid,Nickeil Alexander-Walker,Kyle Anderson,Troy Brown Jr.,Josh Minott,Shake Milton,Jordan McLaughlin,Wendell Moore Jr.,,
739,DAL,2024,Luka Dončić,Grant Williams,Dereck Lively II,Derrick Jones Jr.,Dante Exum,Tim Hardaway Jr.,Markieff Morris,Jaden Hardy,Dwight Powell,Olivier-Maxence Prosper,Richaun Holmes,A.J. Lawson,Greg Brown III,,
740,BRK,2024,Cam Thomas,Mikal Bridges,Spencer Dinwiddie,Cameron Johnson,Nic Claxton,Day'Ron Sharpe,Trendon Watford,Jalen Wilson,Dorian Finney-Smith,Armoni Brooks,Harry Giles,Royce O'Neale,,,
741,DEN,2024,Nikola Jokić,Justin Holiday,Aaron Gordon,Michael Porter Jr.,Jamal Murray,Peyton Watson,Christian Braun,Reggie Jackson,Julian Strawther,DeAndre Jordan,Zeke Nnaji,Jalen Pickett,Hunter Tyson,,
742,GSW,2024,Brandin Podziemski,Stephen Curry,Klay Thompson,Kevon Looney,Jonathan Kuminga,Chris Paul,Andrew Wiggins,Dario Šarić,Moses Moody,Trayce Jackson-Davis,,,,,
743,LAC,2024,James Harden,Kawhi Leonard,Ivica Zubac,Amir Coffey,Terance Mann,Norman Powell,Russell Westbrook,Daniel Theis,Kobe Brown,,,,,,
744,CHI,2024,DeMar DeRozan,Coby White,Nikola Vučević,Patrick Williams,Alex Caruso,Ayo Dosunmu,Torrey Craig,Jevon Carter,Andre Drummond,Dalen Terry,,,,,
745,MIA,2024,Caleb Martin,Kyle Lowry,Jimmy Butler,Duncan Robinson,Orlando Robinson,Jaime Jaquez Jr.,Kevin Love,Thomas Bryant,R.J. Hampton,Jamal Cain,,,,,
746,UTA,2024,Collin Sexton,Talen Horton-Tucker,Walker Kessler,Simone Fontecchio,Kelly Olynyk,Ochai Agbaji,Kris Dunn,Taylor Hendricks,Omer Yurtseven,Micah Potter,,,,,
747,POR,2024,Shaedon Sharpe,Toumani Camara,Anfernee Simons,Deandre Ayton,Matisse Thybulle,Scoot Henderson,Jabari Walker,Kris Murray,Skylar Mays,Malcolm Brogdon,Duop Reath,Moses Brown,,,
748,OKC,2024,Shai Gilgeous-Alexander,Luguentz Dort,Chet Holmgren,Josh Giddey,Jalen Williams,Cason Wallace,Isaiah Joe,Jaylin Williams,Kenrich Williams,Ousmane Dieng,Aaron Wiggins,Dāvis Bertāns,,,
749,SAC,2024,Domantas Sabonis,De'Aaron Fox,Keegan Murray,Harrison Barnes,Kevin Huerter,Malik Monk,Keon Ellis,Trey Lyles,Sasha Vezenkov,JaVale McGee,,,,,
750,ORL,2024,Franz Wagner,Paolo Banchero,Anthony Black,Goga Bitadze,Jalen Suggs,Cole Anthony,Gary Harris,Jonathan Isaac,Moritz Wagner,Caleb Houstan,Joe Ingles,Jett Howard,Chuma Okeke,Admiral Schofield,
751,BOS,2024,Jayson Tatum,Derrick White,Jaylen Brown,Jrue Holiday,Lamar Stevens,Sam Hauser,Payton Pritchard,Neemias Queta,Oshae Brissett,Svi Mykhailiuk,,,,,
752,NOP,2024,Jonas Valančiūnas,CJ McCollum,Brandon Ingram,Zion Williamson,Herbert Jones,Trey Murphy III,Jose Alvarado,Dyson Daniels,Naji Marshall,Jordan Hawkins,,,,,
753,CHO,2024,Terry Rozier,Miles Bridges,Brandon Miller,Gordon Hayward,Nick Richards,Bryce McGowens,Ish Smith,JT Thor,Nathan Mensah,,,,,,
754,HOU,2024,Dillon Brooks,Fred VanVleet,Alperen Sengun,Jabari Smith Jr.,Jalen Green,Tari Eason,Aaron Holiday,Jeff Green,Jock Landale,Reggie Bullock,,,,,
755,MEM,2024,Desmond Bane,Bismack Biyombo,Jaren Jackson Jr.,Vince Williams Jr.,Derrick Rose,David Roddy,Santi Aldama,Jacob Gilyard,Ziaire Williams,Jake LaRavia,,,,,
756,DET,2024,Bojan Bogdanović,Cade Cunningham,Ausar Thompson,Killian Hayes,Isaiah Stewart,Jaden Ivey,James Wiseman,Isaiah Livers,Alec Burks,Marcus Sasser,Joe Harris,,,,
